onset	duration	trial_type	value	sample
29.995	10.0	right_hand	2	5999
59.49	10.0	left_hand	1	11898
86.975	10.0	left_hand	1	17395
116.465	10.0	right_hand	2	23293
144.945	10.0	left_hand	1	28989
174.43	10.0	right_hand	2	34886
202.9	10.0	left_hand	1	40580
232.39	10.0	right_hand	2	46478
260.885	10.0	left_hand	1	52177
289.37	10.0	right_hand	2	57874
317.86	10.0	left_hand	1	63572
345.345	10.0	right_hand	2	69069
374.85	10.0	left_hand	1	74970
403.33	10.0	right_hand	2	80666
430.805	10.0	left_hand	1	86161
459.305	10.0	right_hand	2	91861
488.795	10.0	left_hand	1	97759
517.28	10.0	right_hand	2	103456
544.765	10.0	left_hand	1	108953
574.25	10.0	right_hand	2	114850
